Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu,569,518,30000,25925.076690157955,4046.101500003715,60020.06650000112,5.3690685413005275,3.1905836799919665,2.9046086928573613,30000,30000,32000,32000,32000,32000,34000,34000,60000,60000,60000
GET,/cpu_fixed,539,517,30000,27004.167476067174,4046.588299999712,60013.495000006515,2.5194805194805197,3.022363099324552,2.899001340168448,30000,30000,32000,32000,32000,32000,34000,34000,60000,60000,60000
,Aggregated,1108,1035,30000,26450.013453339383,4046.101500003715,60020.06650000112,3.982851985559567,6.2129467793165185,5.80361003302581,30000,30000,32000,32000,32000,32000,34000,34000,60000,60000,60000
