Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu,295,69,26000,24124.232978643784,330.33630000136327,30124.387200005003,45.89491525423729,1.6420760433625772,0.3840788033627723,26000,28000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/cpu_fixed,284,251,30000,28474.129113379873,2052.579600000172,30021.88309999474,7.179577464788732,1.5808460892032945,1.397156226725447,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
,Aggregated,579,320,30000,26257.860789118826,330.33630000136327,30124.387200005003,26.905008635578582,3.2229221325658717,1.7812350300882192,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
