Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu,694,63,11000,9356.714745821182,2182.535800006008,13945.097199990414,44.46974063400577,7.276203094128684,0.6605198774209036,11000,11000,12000,12000,12000,13000,13000,14000,14000,14000,14000
GET,/cpu_fixed,687,60,12000,10621.83569898106,2665.1521000021603,15556.48349999683,44.63755458515284,7.202811996637473,0.62906654992467,12000,13000,13000,13000,14000,14000,15000,15000,16000,16000,16000
,Aggregated,1381,123,11000,9986.068905720436,2182.535800006008,15556.48349999683,44.55322230267922,14.479015090766156,1.2895864273455737,11000,12000,13000,13000,13000,14000,14000,15000,15000,16000,16000
