Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu,617,0,2300,2347.7723106970057,2128.957499997341,3109.062300005462,48.89141004862237,5.813708641024963,0.0,2300,2400,2400,2500,2600,2700,2800,3000,3100,3100,3100
GET,/cpu_fixed,539,0,3100,3169.0048085343005,2434.7972000105074,4923.84449999372,48.888682745825605,5.0787503363248865,0.0,3100,3300,3500,3500,3800,4100,4300,4500,4900,4900,4900
,Aggregated,1156,0,2500,2730.6826189446715,2128.957499997341,4923.84449999372,48.8901384083045,10.89245897734985,0.0,2600,2900,3100,3200,3500,3800,4200,4300,4700,4900,4900
