Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu,287,0,4600,4500.523257142508,2169.751699999324,5891.113399993628,48.8815331010453,6.413397775474495,0.0,4600,5000,5200,5300,5500,5600,5800,5800,5900,5900,5900
GET,/cpu_fixed,272,0,5900,5758.012260661899,2638.5011000093073,7628.130400000373,48.904411764705884,6.078202769787675,0.0,5900,6200,6400,6500,6800,6900,7200,7300,7600,7600,7600
,Aggregated,559,0,5200,5112.396260643896,2169.751699999324,7628.130400000373,48.89266547406082,12.49160054526217,0.0,5200,5600,5900,6100,6500,6800,7000,7200,7600,7600,7600
