Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu,107,44,18000,21352.89132897185,1557.0710000029067,32058.01949999295,32.32710280373832,2.422972719429213,0.9963626135970597,18000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
GET,/cpu_fixed,93,26,16000,18716.53893978463,779.3887000007089,32055.918500002008,41.0,2.1059482514665127,0.5887597262164443,16000,22000,32000,32000,32000,32000,32000,32000,32000,32000,32000
,Aggregated,200,70,17000,20126.9874679998,779.3887000007089,32058.01949999295,36.36,4.528920970895726,1.5851223398135041,17000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
