Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu,56,0,13000,11039.85506607231,1481.4650000043912,21052.557500006515,54.892857142857146,1.2932120450196158,0.0,13000,13000,14000,15000,15000,19000,19000,21000,21000,21000,21000
GET,/cpu_fixed,74,0,13000,12019.868502702102,1103.2477999979164,20528.57260000019,56.74324324324324,1.7088873452044924,0.0,13000,14000,15000,16000,17000,20000,20000,21000,21000,21000,21000
,Aggregated,130,0,13000,11597.708868461565,1103.2477999979164,21052.557500006515,55.94615384615385,3.0020993902241084,0.0,13000,14000,14000,15000,17000,19000,20000,21000,21000,21000,21000
